Headlines,Dates,Descriptions
VW Makes Big Bet on EVs,20 Jul 2010,"Volkswagen is diving into electric vehicles with the goal of selling 300000 annually by 2018, and it has tapped an early pioneer of the modern EV to help..."
"BREAKING: Honda Plans Electric Car, Plug-in Hybrid For 2012",20 Jul 2010,"Just like last week's Toyota-Tesla announcement, the rumor mill went into overdrive yesterday with talk of plans from Honda to build both electric cars and..."
Glenn Beck Going Blind Macular Degeneration - What Is Macular Degeneration Blindness?,20 Jul 2010,Conservative talk-show host Glenn Beck recently announced he has been diagnosed with a condition that may make him blind. But there are more than 100...
IndyCar's new chassis: Plenty of questions remain,22 Jul 2010,Some questions about the 2012 Izod IndyCar Series chassis program chosen recently by a dedicated committee:-- What are the rules?-- How much are repla.
Lincoln Kills the 'Hybrid Premium',22 Jul 2010,"One big gripe people have about hybrids is they cost a few grand more than similar conventional models. It's the so-called hybrid premium, and critics say..."
White Zombie Electric Race Car Does 0 to 60 mph in 3 seconds,22 Jul 2010,"In order to set a new round of record-breaking electrical hot-rodding at Portland International Raceway, the drag racer John Wayland has converted an old..."
Nvidia chip team gets 25 million dollars from US military,10 Aug 2010,Nvidia on Monday said it is leading a team awarded 25 million dollars by Defense Advanced Research Projects Agency (DARPA) to create a chip that leaves...
GM aplies for Patent on Opel Insignia OPC in China,10 Aug 2010,"GM applied for patent on the Opel Insignia OPC in China. Note the missing logo, they won't sell it branded as 'Opel'. The Insignia is made in China by."
Ford F-150 News: 2011 Harley-Davidson F-150 Revealed –,10 Aug 2010,"The branding alliance between Ford and Harley-Davidson—barring Lee Greenwood marrying a bald eagle, possibly the most American alliance in history—has..."
IPL: Infiniti spells performance with new custom line to debut on G coupe,11 Aug 2010,"Time will tell whether the IPL brand will carry the gravitas of Mercedes-Benz AMG or BMW M. But for now, it spells 18 hp and a host of sporty cosmetic."
Long Term Update 2: 2010 Buick LaCrosse,12 Aug 2010,"""I relied heavily on the cruise control while driving to and from Mojave last week,"" notes assistant Web producer Carlos Lago, ""but found our LaCrosse..."
Tesla Roadster Confirmed For GT5,16 Aug 2010,The Tesla Motors Facebook page has confirmed that their battery powered electric sports car will feature in Polyphony's Gran Turismo 5.
Lamborghini V10 in the S6,16 Aug 2010,"Yes, you read that title correctly. The V10 engine in the engine bay of the S6 is similar to that in the Gallardo. Since both brands are owned by Volkswagen..."
A first look at the Coda electric sedan,18 Aug 2010,Coda's self-titled debut sedan is small in statue but carries ambitious goals for the upstart California electric-car maker.The five-passenger ride is.
Sandra Bullock Gives Ex Jesse James Texas-Sized Welcome To Austin,18 Aug 2010,"Sandra Bullock doesn't mind that her serial cheating ex hubby Jesse James is moving to her hometown of Austin, Texas, RadarOnline.com has learned."
Biogas.se enters a third Volkswagen Scirocco,24 Aug 2010,Johan Kristoffersson is going to drive the older specification Volkswagen Scirocco that was replaced for the STCC race at Falkenberg by the newer S2000...
Silent Toyota Prius to get sound generator,25 Aug 2010,"The Toyota Prius is about to get an optional speaker system designed to alert pedestrians that the car, which can run near silently, is on the move."
BMW of North America president to host Teen Driving School,25 Aug 2010,"Students and teens living in Evans, Ill., will have the opportunity to attend a special driving seminar at U.S. Cellular Field in Chicago on Sept. 7."
Toyota Rerates Tundra Towing Capacity Under New SAE Guidelines,25 Aug 2010,"Toyota has become one of the first automakers to test and certify a truck against the Society of Automotive Engineers' new unified towing standard, reports."
True Bliss Customs Matte Black BMW E92 M3 Photoshoot,27 Aug 2010,"First of all, let me say that this is probably the best matte black BMW E92 M3 out there! On of the sickest jobs that we saw! The people working over at..."
"CAFE Putting Pressure on Nissan, May Drop Rugged Xterra",27 Aug 2010,"We liked it enough to name it our 2005 Sport-Utility of the Year, but rising Corporate Average Fuel Economy (CAFE) pressure and slow sales may prompt Nissan..."
Mercedes-Benz A-Class E-Cell Set For 2010 Paris Auto Show Debut,27 Aug 2010,"As reported earlier, Mercedes-Benz will be launching a new all-electric version of its entry-level A-Class model dubbed the A-Class E-Cell."
Spartan Gladiator Classic Displayed at IAFC,30 Aug 2010,The Association of Fire Chiefs (IAFC) Fire-Rescue International Conference held in Chicago last week was the venue of choice for Spartan Motors to showcase...
EXCLUSIVE: Farrah Fawcett's Father Dies; Grandson Redmond O'Neal Attends Funeral,30 Aug 2010,"Farrah Fawcett's elderly father has died, RadarOnline.com has learned. [ami-related target=""_blank"" url=""https://www.radaronline.com/photos/image/1892""..."
Goodyear MT/R Competition Off-Road Tire,01 Sep 2010,The new Goodyear MT/R with Kevlar sidewalls has made a great impression on us over the last year. We ran them on our Ultimate FJ Cruiser in last year's Four...
Falken High Country All Terrain Tire,01 Sep 2010,"When we set out looking for a tire for our own use, we usually come up with one that's tried and true, or one that's so full-on new that most people haven't..."
James Thompson to make Scandinavian debut – TouringCarTimes,01 Sep 2010,Thompson is going to drive the Honda Accord that Wolfgang Treml drove for the team in ETCC and most recently at Ring Djursland.
Track Layout for Austin F1 Circuit Unveiled,02 Sep 2010,"The designers from Tilke GmbH have unveiled their design for the new Formula 1 racetrack set to be built near Austin, Texas. The location is scheduled to..."
Epic Electric Vehicles Unveils New Torq Roadster,02 Sep 2010,"Epic Electric Vehicles is a little known company based in the U.S. that manufactures all sorts of electric modes of transport including boats,..."
Fuel Economy and Car Bodies – Engineering Better MPGs,09 Sep 2010,"The Automotive X Prize is an energy-management contest on wheels, and the teams all attempt to optimize four basic characteristics."
Eurobike 2010: New Reed and Alva mountain bikes from Bionicon,09 Sep 2010,"German company Bionicon were showing off their 2011 bikes at this year's Eurobike trade show, which included the 140mm-travel Reed and 160-180mm Alva."
2011 BMW M3 Adds Standard M Drive,09 Sep 2010,"Attention M3 fans: Do you want a car with all the adjustable chassis settings but without that pesky and expensive iDrive? Well, we've got good news,..."
Toyota Breeds Hybrids En Masse,14 Sep 2010,"Toyota turned into a fast breeder for hybrids. They will introduce six new hybrid models worldwide by 2012, says The Nikkei Furthermore, they will display..."
NVIDIA Debuts Parallel Nsight 1.5 And CUDA Toolkit 3.2,14 Sep 2010,"CUDA. Performance increases. GPUs. NVIDIA. Tesla Compute Cluster. Somehow or another, all of those are interconnected in NVIDIA's latest announcement,..."
NVIDIA Announces Parallel Nsight 1.5 & CUDA Toolkit 3.2,14 Sep 2010,"Not to be outdone by Intel's IDF and AMD's counter-meeting this week, NVIDIA's GPU Computing group has their own announcement this week ahead of their GPU..."
The new Toyota RAV4 EV to be unveiled at LA,16 Sep 2010,"Tuesday, Toyota USA announced on its Twitter page that the next generation of RAV EVs will be unveiled at the Los Angeles show, set to begin on November 19."
Automotive X-Prize: E-Tracer captures victory in Alternative Class-Tandem,16 Sep 2010,The moment that we've been waiting for is finally upon us. Today is the day that competitors who took part in the grueling four-month long Automotive...
X-Prize winner E-Tracer powered by AC Propulsion electric-drive system,16 Sep 2010,"California-based AC Propulsion, the company known for providing drive system technology for the Tesla Roadster, Mini E, and eBox electric vehicles,..."
"Edward Dean Adams Power Plant – Niagara Falls, New York",20 Sep 2010,"All that remains from the Edward Dean Adams Power Plant is the Transformer House, a limestone building with a dilapidated roof. When the first modern..."
Pandora makes its way to TiVo Premiere,20 Sep 2010,Those hoping to increase their music listening on a TiVo can now do so with the help of Pandora. The only catch is the service is available to TiVo Premiere...
Ford dropping Ranger pickup from U.S. lineup after 2011,20 Sep 2010,"Ford Motor Co., as expected, is dropping the venerable Ranger compact pickup from its U.S. lineup after the 2011 model year.Ford is consolidating its."
Ugly Electric Vehicle Pictures - World's Ugliest Electric Vehicles,30 Sep 2010,"There's no doubt about it, the 2010 Paris Auto Show is all about electric and hybrid-electric innovation. Of course, many small, weird and just plain ugly..."
Mini Takes the Wraps off the Long Awaited WRC Rally Countryman,30 Sep 2010,The Mini Countryman WRC will compete in the World Rally Championship next season and marks the small-car brand's return to a scene it last seriously...
"Your Life History, Before You've Grown Up | The Takeaway",30 Sep 2010,"Why Mark Zuckerberg's has yet to be told — The both preposterous and completely unsurprising bio-flick, “Social Network,” about Facebook founder Mark..."
So what's the Maruti Suzuki EECO charge and SX4 hybrid all about?,11 Oct 2010,"India's largest auto manufacturer, Maruti-Suzuki has developed two hybrid vehicles - EECO Charge and SX4 Hybrid in India."
Chevrolet Volt Hybrid Drive System - General Motors Volt Powertrain,12 Oct 2010,General Motors has finally revealed the inner workings of the Volt's powertrain. Here are the details.
Hungary takes over red sludge firm,12 Oct 2010,"Zoltan Bakonyi, managing director of MAL, was detained for questioning in the country's worst-ever toxic spill [AFP]..."
French Website Makes Euro-Carpooling A Snap,12 Oct 2010,"PARIS — Carpooling websites are experiencing a boom in popularity in Europe as commuters, fed up with rail strikes and as concerned about their pocketbooks..."
Swiss finish world’s longest tunnel,15 Oct 2010,Tunnel through the Alps is hailed as an environmental triumph as it will shift freight traffic from road to rail.
Computer Aid Solar Cyber Café Goes Live In Kenya,15 Oct 2010,Computer Aid has today officially launched its first solar powered Internet café in Kenya enabling rural communities with no electricity to get online.
Porsche says 1952 356 Cabriolet is oldest one sold in the U.S.,20 Oct 2010,"A 1952 Porsche 356 cabriolet owned by Robert Wilson of Oklahoma City, Okla., has been named the winner of a contest to find the oldest Porsche sold in."
"Cause of Heidi Montag's Plastic Surgeon's Crash, Report",20 Oct 2010,"Officials say Dr. Frank Ryan's Jeep drifted off the highway with ""no evidence of any other contributing factors"""
Oldest Porsches in America,20 Oct 2010,"This 1952 Porsche 356 Cabriolet, owned by Robert Wilson, was imported into the United States in November 1952. 2. This 1950 Porsche 356 Cabriolet is from..."
"2011 Chevrolet Volt (Chevy) Review, Ratings, Specs, Prices, and Photos",21 Oct 2010,"The 2011 Chevrolet Volt is an electric car, but drive as far as you want without worry—you won't have to make concessions for the technology onboard."
Next gen Roewe 750 to be Based on Buick Regal,21 Oct 2010,The next generation Roewe 750 will be based on the platform of the China-made Buick Regal. The Ragal is made by the Shanghai-GM joint venture. Shanghai.
PMC's Fact 3,21 Oct 2010,I was impressed by the looks and sound of PMC's new Fact 3 monitor ($9500/pair). PMC's Ian Verdugo explained that the company gave the model the “deluxe...
Gallery: Let Your Children Play With Robots,26 Oct 2010,"Robots can help children become smarter and happier. Javier Movellan, who has spent the better part of the last three decades playing with kids and robots,..."
Inside Scheid Diesel's Pro Stock Sled Pulling Team,01 Nov 2010,Thirty-nine hooks in 3 months-that was the number of dates scheduled for the Pro Stock pulling trucks within the Illinois Tractor Pulling Association's list...
"Releases: ""Toy Story 3,"" ""Guitar Hero: Warriors of Rock""",01 Nov 2010,"New and noteworthy experiences among DVDs, video games, gadgets and the Web. DVD. To infinity and beyond Woody (voiced by Tom Hanks), Buzz (Tim Allen),..."
How It's Made: Cummins 6.7L Engine,01 Nov 2010,"No other diesel manufacturer has perfected its engine the way Cummins has, be it for industrial power generation, off-highway mining vehicles,..."
Is This 170 MPH All-American Electric Supercar for Real?,02 Nov 2010,"A startup touts its entirely homemade, lightning-fast, lithium-ion-powered luxury two-seater. Watch out, Elon Musk, it's gunning for your Tesla Roadster."
Morgan Threewheeler returns after 58-year break,02 Nov 2010,"The Morgan Motor Co. will relaunch the Morgan Threewheeler after a 58-year hiatus, the British automaker said on Wednesday.The 2011 Morgan Threewheele."
Toyota Readies Ractis,23 Nov 2010,"Toyota launched the second generation of its Ractis subcompact in Japan. Never heard of a Ractis? No wonder: The first generation Ractis, introduced in 2005..."
Nemesis is Britain's first electric supercar | ETA,23 Nov 2010,"Dale Vince, an environmentalist and wind-farm millionaire, has built Britain's first electric supercar. 'Nemesis' can accelerate from 0-100 mph in 8.5..."
Video: Rapper 50 Cent Uses Lamborghini as Bank Vault,23 Nov 2010,"The wealthy and super-wealthy of the world are very different from your Average Joe. For one thing, they often enjoy prestige banking services with..."
Epic Mickey seeks to morph mouse into game hero,30 Nov 2010,Disney launches the first Wii game for the iconic character. The company hopes to use the title to raise Mickey Mouse to the level of Mario in the gaming...
