Headlines,Dates,Descriptions
The Bigger Picture on Autopilot Safety,"*The Tesla Team, January 9, 2024","While there are many articles that do not accurately convey the nature of our safety systems, the recent Washington Post article is particularly egregious in its misstatements and lack of relevant context."
Addressing Misleading Claims,"*The Tesla Team, January 9, 2024",Reuters published an article that leads with a wildly misleading headline and is riddled with incomplete and demonstrably incorrect information. This latest piece vaguely and nonsensically suggests there are thousands upon thousands of disgruntled Tesla customers. It’s nonsensical because it’s nonfactual—the reality is Tesla’s customer retention is among the best and highest in the industry.
Tesla Lithium Refinery Groundbreaking,"The Tesla Team, May 8, 2023","Today, we are breaking ground on Tesla’s in-house lithium refinery, located in the greater Corpus Christi area of Texas. Once complete, the facility will represent an investment of >$1B in Southwest Texas. This investment is critical to our mission to accelerate the world’s transition to sustainable energy and represents our efforts to aggressively increase the supply of battery-grade lithium hydroxide available in North America."
Master Plan Part 3,"The Tesla Team, April 5, 2023","Today, we are publishing Master Plan Part 3, which outlines a proposed path to reach a sustainable energy economy through end-use electrification and sustainable electricity generation. This paper outlines the assumptions, sources and calculations. Input and conversation are welcome."
In Response to False Allegations,"The Tesla Team, February 16, 2023",There is a false allegation that Tesla terminated employees in response to a new union campaign.
Continuing Our Investment in Nevada,"The Tesla Team, January 24, 2023","In 2014, we made a commitment to invest $3.5 billion in Nevada with our first Gigafactory. Our goal was to build a facility capable of producing 35 GWh of battery cells annually—enough to manufacture about 500,000 vehicles per year."
Tesla’s California Footprint,"The Tesla Team, January 3, 2023","In the 20 years since Tesla was founded in San Carlos, California, we have grown from a long-shot startup to the state’s largest manufacturing employer and the world’s leading electric vehicle maker."
Model S Receives 5-Star Euro NCAP Safety Rating,"The Tesla Team, November 16, 2022","With its launch in 2012, Model S set the standard for Tesla vehicle safety: a rigid safety cell, large front and rear crumple zones, and fortified battery pack. It also set a new bar for the automotive industry—in 2014, it was the only vehicle to achieve a 5-star Euro NCAP rating and 5 stars in every NHTSA category."
Model 3 Scores 5-Star Green NCAP Rating,"The Tesla Team, November 14, 2022","Model 3 has been awarded 5-stars with a Weighted Overall Index of 9.8/10 by Green NCAP, an independent initiative helping consumers evaluate vehicle sustainability. In its analysis, Green NCAP considers a vehicle’s energy efficiency, as well as its emission of greenhouse gasses and air pollutants."
Opening the North American Charging Standard,"The Tesla Team, November 11, 2022","With more than a decade of use and 20 billion EV charging miles to its name, the Tesla charging connector is the most proven in North America, offering AC charging and up to 1 MW DC charging in one slim package. It has no moving parts, is half the size, and twice as powerful as Combined Charging System (CCS) connectors."
Tesla Welcomes Joe Gebbia as New Independent Director to its Board,"The Tesla Team, September 28, 2022","We are pleased to welcome Joe Gebbia to Tesla’s Board of Directors, effective September 25, 2022."
Model Y Earns 5-Star Safety Rating From Euro NCAP,"The Tesla Team, September 7, 2022","At Tesla, vehicle design is an iterative process through which we aim to make some of the safest cars on the road even safer. Today, Model Y is our latest vehicle to earn a 5-star safety rating from the European New Car Assessment Programme (Euro NCAP)."
