startDate,endDate,interval
07/20/2010,07/20/2010,1
07/22/2010,07/22/2010,1
07/30/2010,07/30/2010,1
08/10/2010,08/13/2010,4
08/16/2010,08/16/2010,1
08/18/2010,08/18/2010,1
08/24/2010,08/25/2010,2
08/27/2010,08/27/2010,1
08/30/2010,08/30/2010,1
09/01/2010,09/03/2010,3
09/09/2010,09/09/2010,1
09/14/2010,09/14/2010,1
09/16/2010,09/17/2010,2
09/20/2010,09/20/2010,1
09/30/2010,09/30/2010,1
10/11/2010,10/12/2010,2
10/15/2010,10/15/2010,1
10/20/2010,10/21/2010,2
10/26/2010,10/26/2010,1
11/01/2010,11/02/2010,2
11/23/2010,11/23/2010,1
11/30/2010,11/30/2010,1
12/13/2010,12/14/2010,2
12/28/2010,12/28/2010,1
12/30/2010,12/30/2010,1
01/03/2011,01/03/2011,1
01/26/2011,01/26/2011,1
01/28/2011,01/28/2011,1
01/31/2011,01/31/2011,1
02/02/2011,02/02/2011,1
02/07/2011,02/07/2011,1
02/09/2011,02/09/2011,1
02/11/2011,02/11/2011,1
02/18/2011,02/18/2011,1
02/23/2011,02/25/2011,3
03/01/2011,03/01/2011,1
03/14/2011,03/14/2011,1
03/22/2011,03/22/2011,1
04/01/2011,04/01/2011,1
04/07/2011,04/07/2011,1
04/11/2011,04/12/2011,2
04/18/2011,04/18/2011,1
04/20/2011,04/21/2011,2
05/02/2011,05/03/2011,2
05/05/2011,05/06/2011,2
05/13/2011,05/13/2011,1
05/17/2011,05/17/2011,1
05/20/2011,05/20/2011,1
05/24/2011,05/24/2011,1
05/26/2011,05/26/2011,1
06/02/2011,06/02/2011,1
06/13/2011,06/13/2011,1
06/15/2011,06/15/2011,1
06/28/2011,06/29/2011,2
07/06/2011,07/08/2011,3
07/13/2011,07/15/2011,3
07/22/2011,07/22/2011,1
07/25/2011,07/25/2011,1
07/27/2011,07/28/2011,2
08/19/2011,08/19/2011,1
08/22/2011,08/22/2011,1
08/24/2011,08/24/2011,1
08/30/2011,08/30/2011,1
09/02/2011,09/02/2011,1
09/08/2011,09/08/2011,1
09/13/2011,09/13/2011,1
09/20/2011,09/20/2011,1
09/22/2011,09/23/2011,2
09/29/2011,09/29/2011,1
10/13/2011,10/13/2011,1
10/17/2011,10/17/2011,1
11/08/2011,11/09/2011,2
11/15/2011,11/15/2011,1
11/17/2011,11/18/2011,2
11/25/2011,11/25/2011,1
12/01/2011,12/01/2011,1
12/07/2011,12/07/2011,1
12/12/2011,12/12/2011,1
12/14/2011,12/15/2011,2
12/19/2011,12/19/2011,1
12/23/2011,12/23/2011,1
12/28/2011,12/29/2011,2
01/19/2012,01/19/2012,1
01/23/2012,01/23/2012,1
01/27/2012,01/27/2012,1
02/02/2012,02/03/2012,2
02/27/2012,03/01/2012,4
03/05/2012,03/05/2012,1
03/07/2012,03/09/2012,3
03/13/2012,03/16/2012,4
03/20/2012,03/21/2012,2
03/23/2012,03/23/2012,1
03/28/2012,03/29/2012,2
04/03/2012,04/05/2012,3
04/09/2012,04/09/2012,1
04/12/2012,04/13/2012,2
04/16/2012,04/20/2012,5
04/23/2012,04/24/2012,2
04/26/2012,04/26/2012,1
04/30/2012,05/02/2012,3
05/31/2012,06/01/2012,2
06/11/2012,06/11/2012,1
06/15/2012,06/15/2012,1
07/03/2012,07/03/2012,1
07/17/2012,07/17/2012,1
08/07/2012,08/07/2012,1
08/10/2012,08/10/2012,1
08/13/2012,08/13/2012,1
08/28/2012,08/28/2012,1
09/18/2012,09/18/2012,1
10/02/2012,10/02/2012,1
10/16/2012,10/16/2012,1
10/25/2012,10/25/2012,1
11/02/2012,11/02/2012,1
11/27/2012,11/27/2012,1
12/04/2012,12/05/2012,2
12/18/2012,12/18/2012,1
12/31/2012,12/31/2012,1
01/07/2013,01/07/2013,1
01/17/2013,01/17/2013,1
01/25/2013,01/25/2013,1
02/07/2013,02/07/2013,1
02/28/2013,02/28/2013,1
03/15/2013,03/15/2013,1
03/28/2013,03/28/2013,1
04/24/2013,04/24/2013,1
05/24/2013,05/24/2013,1
06/13/2013,06/14/2013,2
07/11/2013,07/12/2013,2
07/23/2013,07/24/2013,2
07/30/2013,07/31/2013,2
09/27/2013,09/27/2013,1
12/09/2013,12/09/2013,1
12/24/2013,12/24/2013,1
01/09/2014,01/09/2014,1
04/15/2014,04/15/2014,1
05/06/2014,05/06/2014,1
05/23/2014,05/23/2014,1
07/02/2014,07/03/2014,2
07/23/2014,07/23/2014,1
08/13/2014,08/14/2014,2
08/20/2014,08/20/2014,1
09/11/2014,09/11/2014,1
11/07/2014,11/07/2014,1
11/28/2014,11/28/2014,1
12/04/2014,12/05/2014,2
01/07/2015,01/07/2015,1
01/21/2015,01/21/2015,1
04/14/2015,04/14/2015,1
04/16/2015,04/16/2015,1
04/28/2015,04/28/2015,1
07/07/2015,07/08/2015,2
07/10/2015,07/10/2015,1
07/16/2015,07/16/2015,1
07/30/2015,07/30/2015,1
08/03/2015,08/03/2015,1
08/11/2015,08/12/2015,2
08/14/2015,08/14/2015,1
08/18/2015,08/18/2015,1
08/26/2015,08/26/2015,1
09/09/2015,09/09/2015,1
09/22/2015,09/22/2015,1
09/24/2015,09/24/2015,1
12/08/2015,12/09/2015,2
12/15/2015,12/15/2015,1
12/18/2015,12/18/2015,1
12/29/2015,12/29/2015,1
01/08/2016,01/08/2016,1
01/21/2016,01/21/2016,1
01/27/2016,01/27/2016,1
03/15/2016,03/15/2016,1
05/13/2016,05/13/2016,1
05/17/2016,05/17/2016,1
06/07/2016,06/07/2016,1
06/14/2016,06/15/2016,2
08/11/2016,08/12/2016,2
08/22/2016,08/22/2016,1
09/02/2016,09/02/2016,1
09/07/2016,09/07/2016,1
09/28/2016,09/28/2016,1
11/30/2016,11/30/2016,1
12/05/2016,12/05/2016,1
12/08/2016,12/08/2016,1
12/29/2016,12/29/2016,1
01/05/2017,01/05/2017,1
03/21/2017,03/21/2017,1
04/25/2017,04/26/2017,2
05/02/2017,05/02/2017,1
06/28/2017,06/28/2017,1
06/30/2017,06/30/2017,1
07/20/2017,07/20/2017,1
08/15/2017,08/15/2017,1
08/29/2017,08/29/2017,1
09/01/2017,09/01/2017,1
09/07/2017,09/07/2017,1
09/21/2017,09/22/2017,2
10/05/2017,10/05/2017,1
10/10/2017,10/11/2017,2
11/28/2017,11/28/2017,1
12/06/2017,12/07/2017,2
12/21/2017,12/21/2017,1
01/09/2018,01/09/2018,1
01/18/2018,01/19/2018,2
05/08/2018,05/09/2018,2
07/03/2018,07/03/2018,1
07/05/2018,07/05/2018,1
07/24/2018,07/24/2018,1
09/19/2018,09/19/2018,1
10/03/2018,10/03/2018,1
11/21/2018,11/21/2018,1
12/27/2018,12/27/2018,1
01/24/2019,01/24/2019,1
04/02/2019,04/02/2019,1
04/10/2019,04/10/2019,1
05/09/2019,05/09/2019,1
07/02/2019,07/02/2019,1
07/05/2019,07/05/2019,1
07/08/2019,07/09/2019,2
07/11/2019,07/11/2019,1
07/19/2019,07/19/2019,1
10/01/2019,10/04/2019,4
10/07/2019,10/07/2019,1
10/10/2019,10/11/2019,2
10/16/2019,10/16/2019,1
10/21/2019,10/22/2019,2
10/31/2019,11/01/2019,2
11/05/2019,11/05/2019,1
12/13/2019,12/13/2019,1
12/24/2019,12/24/2019,1
12/31/2019,12/31/2019,1
01/09/2020,01/09/2020,1
03/06/2020,03/06/2020,1
04/03/2020,04/03/2020,1
04/07/2020,04/07/2020,1
04/22/2020,04/22/2020,1
06/03/2020,06/03/2020,1
07/07/2020,07/08/2020,2
07/10/2020,07/10/2020,1
07/30/2020,07/30/2020,1
09/15/2020,09/15/2020,1
10/01/2020,10/01/2020,1
10/07/2020,10/07/2020,1
10/09/2020,10/09/2020,1
11/12/2020,11/12/2020,1
12/17/2020,12/17/2020,1
01/05/2021,01/05/2021,1
01/07/2021,01/07/2021,1
03/18/2021,03/18/2021,1
03/26/2021,03/26/2021,1
04/01/2021,04/01/2021,1
05/21/2021,05/21/2021,1
06/15/2021,06/15/2021,1
08/11/2021,08/11/2021,1
08/13/2021,08/13/2021,1
08/25/2021,08/25/2021,1
10/05/2021,10/05/2021,1
10/11/2021,10/12/2021,2
10/15/2021,10/15/2021,1
11/04/2021,11/05/2021,2
01/03/2022,01/05/2022,3
01/07/2022,01/07/2022,1
01/19/2022,01/19/2022,1
01/21/2022,01/21/2022,1
01/24/2022,01/26/2022,3
01/28/2022,01/28/2022,1
04/04/2022,04/05/2022,2
04/07/2022,04/07/2022,1
04/13/2022,04/14/2022,2
07/06/2022,07/08/2022,3
07/12/2022,07/13/2022,2
07/15/2022,07/15/2022,1
07/19/2022,07/19/2022,1
08/16/2022,08/16/2022,1
10/06/2022,10/06/2022,1
10/11/2022,10/12/2022,2
10/28/2022,10/28/2022,1
03/22/2023,03/22/2023,1
04/12/2023,04/12/2023,1
05/05/2023,05/05/2023,1
05/10/2023,05/10/2023,1
06/07/2023,06/07/2023,1
06/28/2023,06/28/2023,1
07/28/2023,07/28/2023,1
08/24/2023,08/24/2023,1
10/25/2023,10/25/2023,1
11/20/2023,11/20/2023,1
12/27/2023,12/29/2023,3
