Headlines,Dates,Descriptions
VW Makes Big Bet on EVs,20 Jul 2010,"Volkswagen is diving into electric vehicles with the goal of selling 300000 annually by 2018, and it has tapped an early pioneer of the modern EV to help..."
"BREAKING: Honda Plans Electric Car, Plug-in Hybrid For 2012",20 Jul 2010,"Just like last week's Toyota-Tesla announcement, the rumor mill went into overdrive yesterday with talk of plans from Honda to build both electric cars and..."
Glenn Beck Going Blind Macular Degeneration - What Is Macular Degeneration Blindness?,20 Jul 2010,Conservative talk-show host Glenn Beck recently announced he has been diagnosed with a condition that may make him blind. But there are more than 100...
IndyCar's new chassis: Plenty of questions remain,22 Jul 2010,Some questions about the 2012 Izod IndyCar Series chassis program chosen recently by a dedicated committee:-- What are the rules?-- How much are repla.
Lincoln Kills the 'Hybrid Premium',22 Jul 2010,"One big gripe people have about hybrids is they cost a few grand more than similar conventional models. It's the so-called hybrid premium, and critics say..."
White Zombie Electric Race Car Does 0 to 60 mph in 3 seconds,22 Jul 2010,"In order to set a new round of record-breaking electrical hot-rodding at Portland International Raceway, the drag racer John Wayland has converted an old..."
Nvidia chip team gets 25 million dollars from US military,10 Aug 2010,Nvidia on Monday said it is leading a team awarded 25 million dollars by Defense Advanced Research Projects Agency (DARPA) to create a chip that leaves...
GM aplies for Patent on Opel Insignia OPC in China,10 Aug 2010,"GM applied for patent on the Opel Insignia OPC in China. Note the missing logo, they won't sell it branded as 'Opel'. The Insignia is made in China by."
Ford F-150 News: 2011 Harley-Davidson F-150 Revealed –,10 Aug 2010,"The branding alliance between Ford and Harley-Davidson—barring Lee Greenwood marrying a bald eagle, possibly the most American alliance in history—has..."
IPL: Infiniti spells performance with new custom line to debut on G coupe,11 Aug 2010,"Time will tell whether the IPL brand will carry the gravitas of Mercedes-Benz AMG or BMW M. But for now, it spells 18 hp and a host of sporty cosmetic."
Long Term Update 2: 2010 Buick LaCrosse,12 Aug 2010,"""I relied heavily on the cruise control while driving to and from Mojave last week,"" notes assistant Web producer Carlos Lago, ""but found our LaCrosse..."
Tesla Roadster Confirmed For GT5,16 Aug 2010,The Tesla Motors Facebook page has confirmed that their battery powered electric sports car will feature in Polyphony's Gran Turismo 5.
Lamborghini V10 in the S6,16 Aug 2010,"Yes, you read that title correctly. The V10 engine in the engine bay of the S6 is similar to that in the Gallardo. Since both brands are owned by Volkswagen..."
A first look at the Coda electric sedan,18 Aug 2010,Coda's self-titled debut sedan is small in statue but carries ambitious goals for the upstart California electric-car maker.The five-passenger ride is.
Sandra Bullock Gives Ex Jesse James Texas-Sized Welcome To Austin,18 Aug 2010,"Sandra Bullock doesn't mind that her serial cheating ex hubby Jesse James is moving to her hometown of Austin, Texas, RadarOnline.com has learned."
Biogas.se enters a third Volkswagen Scirocco,24 Aug 2010,Johan Kristoffersson is going to drive the older specification Volkswagen Scirocco that was replaced for the STCC race at Falkenberg by the newer S2000...
Silent Toyota Prius to get sound generator,25 Aug 2010,"The Toyota Prius is about to get an optional speaker system designed to alert pedestrians that the car, which can run near silently, is on the move."
BMW of North America president to host Teen Driving School,25 Aug 2010,"Students and teens living in Evans, Ill., will have the opportunity to attend a special driving seminar at U.S. Cellular Field in Chicago on Sept. 7."
Toyota Rerates Tundra Towing Capacity Under New SAE Guidelines,25 Aug 2010,"Toyota has become one of the first automakers to test and certify a truck against the Society of Automotive Engineers' new unified towing standard, reports."
True Bliss Customs Matte Black BMW E92 M3 Photoshoot,27 Aug 2010,"First of all, let me say that this is probably the best matte black BMW E92 M3 out there! On of the sickest jobs that we saw! The people working over at..."
"CAFE Putting Pressure on Nissan, May Drop Rugged Xterra",27 Aug 2010,"We liked it enough to name it our 2005 Sport-Utility of the Year, but rising Corporate Average Fuel Economy (CAFE) pressure and slow sales may prompt Nissan..."
PC World and Currys Offer Old Computer Trade-In,27 Aug 2010,"PC World and Currys are offering cash for old working laptops, desktops, and Macs as part of a six day trade-in scheme. With parents potentially gearing up..."
Spartan Gladiator Classic Displayed at IAFC,30 Aug 2010,The Association of Fire Chiefs (IAFC) Fire-Rescue International Conference held in Chicago last week was the venue of choice for Spartan Motors to showcase...
EXCLUSIVE: Farrah Fawcett's Father Dies; Grandson Redmond O'Neal Attends Funeral,30 Aug 2010,"Farrah Fawcett's elderly father has died, RadarOnline.com has learned. [ami-related target=""_blank"" url=""https://www.radaronline.com/photos/image/1892""..."
Strand-Craft 122: It's a boat and a car,01 Sep 2010,"Feel like boating this holiday weekend? Here's what every AutoWeek reader needs: Mega-yacht builder Strand-Craft has introduced its extravagant 122, w."
Sofia Vergara's TwitPic of Boyfriend in the Hospital,01 Sep 2010,"Sexiest patient ever? Sofia Vergara gushes about her hospitalized boyfriend, posting a TwitPic to prove that not even surgery after a serious car accident..."
Falken High Country All Terrain Tire,01 Sep 2010,"When we set out looking for a tire for our own use, we usually come up with one that's tried and true, or one that's so full-on new that most people haven't..."
Epic Electric Vehicles Unveils New Torq Roadster,02 Sep 2010,"Epic Electric Vehicles is a little known company based in the U.S. that manufactures all sorts of electric modes of transport including boats,..."
Track Layout for Austin F1 Circuit Unveiled,02 Sep 2010,"The designers from Tilke GmbH have unveiled their design for the new Formula 1 racetrack set to be built near Austin, Texas. The location is scheduled to..."
McLaren MP4-12C preview - Drive,09 Sep 2010,"On the other side of the ledger, there are those cars that seem on the bland side when captured in photos, but make a far better impression in person."
2011 BMW M3 Adds Standard M Drive,09 Sep 2010,"Attention M3 fans: Do you want a car with all the adjustable chassis settings but without that pesky and expensive iDrive? Well, we've got good news,..."
Eurobike 2010: New Reed and Alva mountain bikes from Bionicon,09 Sep 2010,"German company Bionicon were showing off their 2011 bikes at this year's Eurobike trade show, which included the 140mm-travel Reed and 160-180mm Alva."
NVIDIA Debuts Parallel Nsight 1.5 And CUDA Toolkit 3.2,14 Sep 2010,"CUDA. Performance increases. GPUs. NVIDIA. Tesla Compute Cluster. Somehow or another, all of those are interconnected in NVIDIA's latest announcement,..."
NVIDIA Announces Parallel Nsight 1.5 & CUDA Toolkit 3.2,14 Sep 2010,"Not to be outdone by Intel's IDF and AMD's counter-meeting this week, NVIDIA's GPU Computing group has their own announcement this week ahead of their GPU..."
The birth of Hurricane Julia,14 Sep 2010,"Hurricane Igor, headed towards Bermuda, is a category four storm with winds reaching in excess of 217kph [EPA]. In the middle of the Atlantic,..."
X-Prize winner E-Tracer powered by AC Propulsion electric-drive system,16 Sep 2010,"California-based AC Propulsion, the company known for providing drive system technology for the Tesla Roadster, Mini E, and eBox electric vehicles,..."
"BREAKING: Aptera Loses Automotive X-Prize, Li-Ion Motors Triumphant",16 Sep 2010,"For the past few years, small and medium-sized automakers have looked towards the prestige of winning the Progressive Insurance Auto-X Prize. for the..."
The new Toyota RAV4 EV to be unveiled at LA,16 Sep 2010,"Tuesday, Toyota USA announced on its Twitter page that the next generation of RAV EVs will be unveiled at the Los Angeles show, set to begin on November 19."
10Best Surprise: The S60 is a Red-Meat Volvo,20 Sep 2010,"We spent last week driving 60-plus new cars in order to decide our 2011 10Best list. When that many cars are gathered in one place, many of which we haven't..."
SETI 2060: Do we make contact by then?,20 Sep 2010,This month the National Radio Astronomy Observatory's Green Bank Science Center is celebrating the 50th anniversary of the modern day search for...
Ford dropping Ranger pickup from U.S. lineup after 2011,20 Sep 2010,"Ford Motor Co., as expected, is dropping the venerable Ranger compact pickup from its U.S. lineup after the 2011 model year.Ford is consolidating its."
Turbine Engines and Hybrid Cars - Jaguar Hybrid Electric Cars,30 Sep 2010,Jaguar's new concept hybrid-electric poses the question: Are turbine-powered backup generators the best way to run a gas- and electric-vehicle?
Newly discovered planet ‘habitable’,30 Sep 2010,Scientists describe conditions on Earth-like planet orbiting nearby star as “just right” for life to develop.
From Nickel Metal Hydride To Lithium Ion: Understanding Batteries,30 Sep 2010,What kind of batteries are in a Prius? Why are they different than the ones in the Tesla Roadster? Why is Honda changing the kind of batteries in its hybrid...
So what's the Maruti Suzuki EECO charge and SX4 hybrid all about?,11 Oct 2010,"India's largest auto manufacturer, Maruti-Suzuki has developed two hybrid vehicles - EECO Charge and SX4 Hybrid in India."
Chevrolet Volt Hybrid Drive System - General Motors Volt Powertrain,12 Oct 2010,General Motors has finally revealed the inner workings of the Volt's powertrain. Here are the details.
Hungary takes over red sludge firm,12 Oct 2010,"Zoltan Bakonyi, managing director of MAL, was detained for questioning in the country's worst-ever toxic spill [AFP]..."
French Website Makes Euro-Carpooling A Snap,12 Oct 2010,"PARIS — Carpooling websites are experiencing a boom in popularity in Europe as commuters, fed up with rail strikes and as concerned about their pocketbooks..."
Computer Aid Solar Cyber Café Goes Live In Kenya,15 Oct 2010,Computer Aid has today officially launched its first solar powered Internet café in Kenya enabling rural communities with no electricity to get online.
Swiss finish world’s longest tunnel,15 Oct 2010,Tunnel through the Alps is hailed as an environmental triumph as it will shift freight traffic from road to rail.
"Cause of Heidi Montag's Plastic Surgeon's Crash, Report",20 Oct 2010,"Officials say Dr. Frank Ryan's Jeep drifted off the highway with ""no evidence of any other contributing factors"""
Oldest Porsches in America,20 Oct 2010,"This 1952 Porsche 356 Cabriolet, owned by Robert Wilson, was imported into the United States in November 1952. 2. This 1950 Porsche 356 Cabriolet is from..."
Lane Keeping Assist Systems Explained,20 Oct 2010,"One of the best active safety features introduced on vehicles in the last decade or so is often overlooked, despite having saved countless of lives."
Next gen Roewe 750 to be Based on Buick Regal,21 Oct 2010,The next generation Roewe 750 will be based on the platform of the China-made Buick Regal. The Ragal is made by the Shanghai-GM joint venture. Shanghai.
PMC's Fact 3,21 Oct 2010,I was impressed by the looks and sound of PMC's new Fact 3 monitor ($9500/pair). PMC's Ian Verdugo explained that the company gave the model the “deluxe...
"2011 Chevrolet Volt (Chevy) Review, Ratings, Specs, Prices, and Photos",21 Oct 2010,"The 2011 Chevrolet Volt is an electric car, but drive as far as you want without worry—you won't have to make concessions for the technology onboard."
Gallery: Let Your Children Play With Robots,26 Oct 2010,"Robots can help children become smarter and happier. Javier Movellan, who has spent the better part of the last three decades playing with kids and robots,..."
2008 Dodge Ram 3500: Air-Ride Equipped,01 Nov 2010,"Tow, show, and lots of go- all in one."
2004 Ford F350 Super Duty - Tow Pig,01 Nov 2010,"If you're going to represent First Coast Diesel Performance the way Adam Brannan does, then you're just going to have to drive something special."
Brian Barker: 1993 Ford Ranger,01 Nov 2010,"The Danger Ranger If ever there was a TTC vehicle where engine performance ensured top status, Brian Barker's full-bodied Ford Ranger would be it."
Morgan Threewheeler returns after 58-year break,02 Nov 2010,"The Morgan Motor Co. will relaunch the Morgan Threewheeler after a 58-year hiatus, the British automaker said on Wednesday.The 2011 Morgan Threewheele."
Is This 170 MPH All-American Electric Supercar for Real?,02 Nov 2010,"A startup touts its entirely homemade, lightning-fast, lithium-ion-powered luxury two-seater. Watch out, Elon Musk, it's gunning for your Tesla Roadster."
Toyota Readies Ractis,23 Nov 2010,"Toyota launched the second generation of its Ractis subcompact in Japan. Never heard of a Ractis? No wonder: The first generation Ractis, introduced in 2005..."
Video: Rapper 50 Cent Uses Lamborghini as Bank Vault,23 Nov 2010,"The wealthy and super-wealthy of the world are very different from your Average Joe. For one thing, they often enjoy prestige banking services with..."
Chevrolet unveils the Camaro convertible at the 2010 LA Auto Show,23 Nov 2010,"The 2011 Chevrolet Volt is set to hit showrooms in the next month and at the 2010 LA Auto Show, there were plenty of Volt-related displays to bring..."
Tesla takes electric cars closer to pro racing,30 Nov 2010,"During practice sessions at the Race of Champions, professional drivers race the Tesla Roadster."
FLASH: the king of VUV and soft X-rays – CERN Courier,30 Nov 2010,"The FLASH free-electron laser at DESY is the first user facility to deliver, over the past five years, short and intense light pulses in the vacuum..."
"Out of Africa: Where Electric Vehicle Batteries Come From, Part II",30 Nov 2010,Does anyone care if their EV or laptop purchase helps pay for murder and environmental ruin in Africa?
